epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,5060.04,2.19803,0.89067,0.70746,0.85224,0.75879,0.81483,0.40704,1.96663,0.97347,0.74669,0.000573891,0.000573891,0.000573891
84,5121.18,2.2327,0.90043,0.71021,0.89146,0.74788,0.82226,0.41489,1.97601,0.96065,0.74679,0.000565325,0.000565325,0.000565325
85,5181.69,2.16023,0.88296,0.71201,0.86197,0.76816,0.8369,0.42136,1.98615,0.95025,0.75255,0.000556742,0.000556742,0.000556742
86,5242.43,2.17149,0.87376,0.71012,0.91384,0.74548,0.83016,0.42049,1.94775,0.9425,0.74595,0.000548142,0.000548142,0.000548142
87,5303.5,2.17784,0.88392,0.71389,0.89973,0.76038,0.83072,0.41409,1.9628,0.94148,0.74732,0.000539529,0.000539529,0.000539529
88,5364.6,2.1969,0.91185,0.71979,0.92384,0.73636,0.82568,0.41385,1.95614,0.95748,0.7453,0.000530906,0.000530906,0.000530906
89,5425.05,2.17084,0.85751,0.71648,0.88979,0.73962,0.80892,0.40178,1.95487,0.9748,0.74522,0.000522275,0.000522275,0.000522275
90,5485.65,2.17306,0.84884,0.71909,0.86821,0.75879,0.81566,0.41199,1.95581,0.97653,0.746,0.000513639,0.000513639,0.000513639
91,5545.47,2.19749,0.86229,0.71836,0.9086,0.7464,0.8224,0.41526,1.9515,0.96096,0.74421,0.000505,0.000505,0.000505
92,5606.38,2.21662,0.88802,0.71703,0.88684,0.75116,0.82205,0.41781,1.91626,0.95974,0.7449,0.000496361,0.000496361,0.000496361
93,5666.86,2.16558,0.86097,0.72766,0.90555,0.73513,0.81192,0.40572,1.9785,0.98484,0.74525,0.000487725,0.000487725,0.000487725
94,5727.58,2.19513,0.86206,0.71682,0.89361,0.74281,0.81623,0.40786,1.95512,0.9921,0.74771,0.000479094,0.000479094,0.000479094
95,5787.88,2.18425,0.86573,0.71378,0.91746,0.76518,0.8344,0.4167,1.9413,0.90915,0.74757,0.000470471,0.000470471,0.000470471
96,5848.23,2.16479,0.84326,0.71295,0.86176,0.7508,0.82096,0.41243,1.95101,0.96138,0.74867,0.000461858,0.000461858,0.000461858
97,5908.78,2.14554,0.85425,0.7159,0.86897,0.75215,0.82043,0.41262,1.92768,0.98159,0.74822,0.000453258,0.000453258,0.000453258
98,5969.73,2.13515,0.8461,0.71969,0.90819,0.76038,0.83012,0.41388,1.92988,0.92048,0.74674,0.000444675,0.000444675,0.000444675
99,6030.52,2.15047,0.84577,0.72166,0.90266,0.7508,0.82462,0.41128,1.9534,0.96841,0.74646,0.000436109,0.000436109,0.000436109
100,6091.08,2.17535,0.83957,0.71283,0.91621,0.74441,0.83247,0.418,1.937,0.94283,0.7457,0.000427565,0.000427565,0.000427565
101,6151.61,2.20605,0.8637,0.71652,0.89956,0.76837,0.83165,0.42629,1.89437,0.94274,0.74468,0.000419044,0.000419044,0.000419044
102,6211.09,2.17019,0.85407,0.71782,0.87851,0.77636,0.83512,0.42006,1.92457,0.95018,0.74735,0.00041055,0.00041055,0.00041055
