clip,ball_lon,mean_lon,n_players,n_clusters_eps8,c8_lon,c8_size,c8_height,c12_lon,c12_size,c15_lon,c15_size,c20_lon,c20_size,c25_lon,c25_size,c8_c25_diff,c8_mean_diff,best_eps,best_dist
VID_20241028_124047_10_010,-31.914914626565945,-13.887687236210413,17,4,16.812116072668488,5,45.84095458984375,-10.098200256616122,16,-10.098200256616122,16,-10.098200256616122,16,-13.887687236210413,17,30.6998033088789,30.6998033088789,25,18.027227390355534
VID_20241028_124047_10_010,-23.040889418922244,-41.567639225842896,17,4,-70.26663252947529,5,49.149847412109374,-29.609725349329395,12,-41.567639225842896,17,-41.567639225842896,17,-41.567639225842896,17,28.698993303632392,28.698993303632392,12,6.56883593040715
VID_20241028_124047_10_010,-22.22265964404263,-33.445955815653356,16,5,-46.76144924402959,6,29.732152303059895,-41.09275187013743,14,-41.09275187013743,14,-41.09275187013743,14,-33.445955815653356,16,13.315493428376236,13.315493428376236,25,11.223296171610727
VID_20241028_124047_10_010,-16.687305633646965,-24.34375756694308,10,2,-8.329928656138705,6,33.95679219563802,-8.329928656138705,6,-8.329928656138705,6,-18.79492683967105,9,-18.79492683967105,9,10.464998183532344,16.013828910804374,20,2.107621206024085
VID_20241028_124047_10_010,-16.372076762956503,-31.864410952589473,14,3,-7.189267503476096,6,32.622721354166664,-20.392997993881412,11,-20.392997993881412,11,-20.392997993881412,11,-20.392997993881412,11,13.203730490405317,24.675143449113378,12,4.020921230924909
VID_20241028_124047_10_010,-32.8074119404295,-42.23549199203454,9,2,-45.25765174291997,6,30.263097127278645,-45.25765174291997,6,-45.25765174291997,6,-42.23549199203454,9,-42.23549199203454,9,3.0221597508854288,3.0221597508854288,20,9.428080051605036
VID_20241028_124047_10_010,-20.14881141527195,-1.110326558773019,12,3,-1.3417815752596305,6,43.82289123535156,-1.110326558773019,12,-1.110326558773019,12,-1.110326558773019,12,-1.110326558773019,12,0.2314550164866116,0.2314550164866116,8,18.80702984001232
VID_20241028_124047_10_010,-19.810627573139655,-2.610223813698092,13,3,-0.1677315276495286,6,43.72149658203125,-2.610223813698092,13,-2.610223813698092,13,-2.610223813698092,13,-2.610223813698092,13,2.442492286048563,2.442492286048563,12,17.200403759441564
VID_20241028_124047_10_010,3.727392765259184,3.150754439795717,9,2,-0.7478936877099003,5,23.7825439453125,4.79245816925559,7,4.79245816925559,7,8.742686742264151,8,8.742686742264151,8,9.490580429974052,3.8986481275056173,12,1.0650654039964058
VID_20241028_131005_10_011,-32.4073400362889,-22.13539966901022,14,2,-42.23050287487084,8,27.961349487304688,-42.23050287487084,8,-42.23050287487084,8,-22.13539966901022,14,-22.13539966901022,14,20.095103205860617,20.095103205860617,8,9.823162838581936
VID_20241028_131005_10_011,-30.699706402789836,-18.0723390792034,14,4,-30.783897371956492,5,26.3107666015625,-37.5346283241857,8,-37.5346283241857,8,-18.0723390792034,14,-18.0723390792034,14,12.711558292753093,12.711558292753093,8,0.0841909691666558
VID_20241028_131005_10_011,-31.65306123517696,-25.40286843634785,15,2,-41.207337845547066,10,26.797201538085936,-41.207337845547066,10,-41.207337845547066,10,-25.40286843634785,15,-25.40286843634785,15,15.804469409199218,15.804469409199218,20,6.2501927988291115
VID_20241028_131005_10_011,-50.07252850486229,-26.263364727184825,16,3,-47.893098792488594,9,35.665195041232636,-26.263364727184825,16,-26.263364727184825,16,-26.263364727184825,16,-26.263364727184825,16,21.62973406530377,21.62973406530377,8,2.1794297123736968
VID_20241028_131005_10_011,28.83579356440132,0.3223463331215916,16,3,23.361676120332664,9,34.974331325954864,21.0524196588183,10,21.0524196588183,10,21.0524196588183,10,0.3223463331215916,16,23.039329787211074,23.039329787211074,8,5.474117444068657
VID_20241028_131005_10_011,-50.57401803696534,-22.443692857255876,18,4,-46.622554051993944,9,35.12714640299479,-22.443692857255876,18,-22.443692857255876,18,-22.443692857255876,18,-22.443692857255876,18,24.17886119473807,24.17886119473807,8,3.9514639849713973
VID_20241028_131005_10_011,23.801328477654025,-11.889237032498947,16,2,12.004475277391014,7,41.550768171037944,12.004475277391014,7,-7.833068291566947,15,-7.833068291566947,15,-11.889237032498947,16,23.893712309889963,23.893712309889963,8,11.79685320026301
VID_20241028_131005_10_011,-70.83971138032283,-44.52573565260691,15,2,-65.0811953421292,8,41.52165985107422,-65.0811953421292,8,-49.28500159941037,14,-49.28500159941037,14,-49.28500159941037,14,15.796193742718835,20.555459689522294,8,5.758516038193619
VID_20241028_131005_10_011,-72.94140091487334,-44.94706212469966,15,2,-66.84682991683461,8,40.10123443603515,-66.84682991683461,8,-66.84682991683461,8,-49.57006063582945,14,-44.94706212469966,15,21.899767792134945,21.899767792134945,8,6.0945709980387335
VID_20241028_131005_10_011,-9.300952450820027,-20.790804180876,12,2,-10.835163550895222,7,39.798876081194194,-20.790804180876,12,-20.790804180876,12,-20.790804180876,12,-20.790804180876,12,9.955640629980776,9.955640629980776,8,1.5342111000751952
VID_20241028_131005_10_011,-15.553912657341929,-2.698371512465398,16,2,8.203476539057245,10,26.71683349609375,8.203476539057245,10,-2.698371512465398,16,-2.698371512465398,16,-2.698371512465398,16,10.901848051522643,10.901848051522643,15,12.85554114487653
VID_20241028_131005_10_011,-18.941390615109924,-3.544444548042428,12,2,-19.14133841737831,5,42.67508544921875,-3.544444548042428,12,-3.544444548042428,12,-3.544444548042428,12,-3.544444548042428,12,15.596893869335883,15.596893869335883,8,0.1999478022683867
VID_20241028_131005_10_011,-7.075548770318974,-31.22330446694501,12,2,-39.934858288471474,8,26.17690658569336,-31.22330446694501,12,-31.22330446694501,12,-31.22330446694501,12,-31.22330446694501,12,8.711553821526465,8.711553821526465,12,24.147755696626035
VID_20241028_131005_10_011,5.565680518950291,18.30236228755338,11,2,29.3560961737111,8,31.611839294433594,24.24523982381405,10,24.24523982381405,10,24.24523982381405,10,24.24523982381405,10,5.110856349897052,11.053733886157723,12,18.67955930486376
VID_20241028_131005_10_011,-31.48542030356503,-45.74524015015244,7,2,-51.410064150593314,5,34.198974609375,-45.74524015015244,7,-45.74524015015244,7,-45.74524015015244,7,-45.74524015015244,7,5.664824000440873,5.664824000440873,12,14.259819846587412
VID_20241028_131005_10_011,7.293397738271104,5.1588432304385705,6,2,18.303509595143733,2,53.76789855957031,14.484243847384317,5,14.484243847384317,5,14.484243847384317,5,14.484243847384317,5,3.8192657477594167,13.144666364705163,12,7.190846109113212
VID_20241028_131005_10_011,30.183391718488437,11.89813482475672,10,2,22.34148706163532,7,27.89508056640625,17.510409322431393,9,17.510409322431393,9,17.510409322431393,9,17.510409322431393,9,4.831077739203927,10.4433522368786,8,7.841904656853117
VID_20241028_131005_10_011,34.685710949761834,6.702345642166728,16,2,19.79796235263939,12,34.77119700113932,19.79796235263939,12,14.473986610574828,14,11.147537094784404,15,6.702345642166728,16,13.095616710472664,13.095616710472664,8,14.887748597122442
VID_20241028_131005_10_011,34.915642787663586,6.178784152600731,17,2,18.302545572446824,13,33.99847412109375,18.302545572446824,13,13.436957108415951,15,10.338418397627088,16,6.178784152600731,17,12.123761419846094,12.123761419846094,8,16.61309721521676
VID_20241028_131005_10_011,32.369745186997946,8.245426445604673,20,2,18.2670461701047,16,32.25659942626953,14.42059437401474,18,14.42059437401474,18,11.821926256446703,19,8.245426445604673,20,10.021619724500026,10.021619724500026,8,14.102699016893247
